level,skills
4.5,SASS
4,jQuery
3,Ruby on Rails
1.5,Express
2,Javascript
4.5,Git
1,PostgreSQL
1.5,D3
4,CSS
2.5,MongoDB
5,HTML
2,Bootstrap
7.2,Node.js

